INDEX_NUM,NAME,GUGUN,LAT,LNG,ADDR,TEL,TIME,MENU
71,다리집,수영구,35.146637,129.11076,"수영구 남천바다로10번길 70 101호
",051-625-0130,"11:30–21:00
","떡볶이, A세트"
72,남촌,북구,35.21074,129.00595,북구 금곡대로8번길 14,051-335-9294,11:00-22:00,"흑돼지 한 마리(800g), 흑돼지 반마리(600g)"
73,북경의자전거,북구,35.230934,129.00957,부산광역시 북구 용당로5번길 14,051-902-8282,am 11:30 ~ pm 22:00,"짜장면, 탕수육"
74,식당 3선(덕천점),북구,35.21927,129.00708,부산 북구 금곡대로 112,051-333-0050,"am 11:00 ~ pm 22:00
21:00 (Last order) "," 양념돼지갈비(330g), 고추장돼지갈비(330g)"
75,함경면옥,북구,35.21178,129.00423,부산 북구 금곡대로 21,051-363-5000,am 11:00 ~ pm 21:20,"물냉면, 회비빔면"
76,홍옥당,수영구,35.146893,129.11392,"부산 수영구 남천동로 108번길 49
",051-627-1026,"am 10:00 ~ pm 22:00
","단팥빵, 단팥죽
"
77,디에이블 송도점,서구,35.076706,129.01715,"부산 서구 충무대로 47 3층 
",051-231-9177,"am 11:00 ~ pm 22:00
","디에이블 파스타, 디에이블 피자
"
78,몽실종가돼지국밥,서구,35.10019,129.01718,"서구 까치고개로 197번길 3, 1층",051-256-0133,09:00-21:00,"돼지국밥, 수육"
79,식당 토성동,서구,35.097954,129.02257,"부산 서구 구덕로 124번길 27
",0507-1353-1425,월~금 10:30 ~  20:00 / 토 10:30 ~ 15:00,"한입 스테이크 덮밥, 돈카츠정식
"
80,청죽,서구,35.11293,129.01305,"부산 서구 망양로 23
",051-247-8555,"am 11:00 ~ pm 22:00
(브레이크타임 15:00 ~ 16:30)","스페셜코스, VIP코스 
"
81,편의방,서구,35.11915,129.01625,"서구 대신공원로 13-5
",051-256-2121,11:00-21:00,"삼선만두, 군만두"
82,동원장수촌하단점,사하구,35.10194,128.97113,사하구 동매로 117 B 201호,051-202-4100,"11:00-21:30
","녹두한방백숙, 능이백숙
"
83,포항가자미물회,사상구,35.169525,128.98228,"사상로 275-1
",051-303-6640,"오픈 11:40 / 마감 15:00
","여름물회, 겨울물회
"
84,괘법쭈꾸미,사상구,35.163906,128.98459,광장로81번길 33,051-323-1383,오픈 11:30 / 마감 23:00,웰빙쭈꾸미
85,삼진어묵,영도구,35.092953,129.04279,부산시 영도구 태종로99번길 36 삼진어묵,051-412-5468,월~일 / 9:00~19:00,
86,광명집,남구,35.125664,129.10095,남구 신선로 458,051-621-4376,11:00-22:00,"아구찜, 대구찜"
87,명지첫집,강서구,35.095818,128.92444,강서구 명지국제6로232번길 18,051-202-9599,11:30-15:00 / 17:00-21:00,"쭈꾸미보쌈, 보쌈정식 점심특선 2인"
88,드마히니 더블유스퀘어점,남구,35.13426,129.11124,남구 분포로 145 (W스퀘어 2동),051-621-8118,"오픈 11:30 / 마감 22:00
15:00~17:00 (브레이크타임)
20:30 (라스트오더)","랍스타스튜 43,000원"
89,명품외식 육면정,남구,35.148415,129.09482,남구 황령대로 329,051-623-6667,am 11:30 ~ pm 22:00,"생진갈비살150g, 양념갈비300g, 갈비살양념구이250g"
90,호포갈비 문현점,남구,35.13401,129.06631,남구 우암로 359,051-639-9200,11:30-21:30,"고기, 호포갈비탕"
91,평산옥,동구,35.114292,129.0371,동구 초량중로 26,051-468-6255,am 10:00 ~ pm 20:00,"수육, 국수, 열무국수"
92,공감식당,부산진구,35.16551,129.03838,부산진구 동평로 81,051-891-2041,"월~금 pm 17:00 ~ pm 22:00 / 토~일  am 11:30 ~ pm 22:00 
","선별숙성삼겹살130g, 선별숙성목살130g"
93,다옴 (서면 삼정타워점),부산진구,35.152874,129.05957,"부산진구 중앙대로 672, 삼정타워 5층",051-520-3778,"일~목 / am 11:00 ~ pm 22:00 (라스트오더 21:20)
금~토 / am 11:00 ~ pm 22:30 (라스트오더 21:20)","차돌박이비빔국수, 칼국수, 비빔밥 "
94,당감밀면,부산진구,35.162247,129.03975,부산진구 당감로 5 삼익아파트상가 B동 1층,051-896-0177,"am 11:00 ~ pm 20:00
19:30 (라스트오더) ","밀면, 비빔밀면, 손만두4개/8개, 손칼국수"
95,더브릭하우스,부산진구,35.15917,129.0585,"부산진구 부전로152번길 70, 1층",051-805-7749,pm 17:00 ~ pm 23:00,
96,버거샵,부산진구,35.15856,129.06306,부산진구 동천로 108번길 11,051-911-4960,11:00-20:30,"클래식버거, 베이컨치즈"
97,소수인,부산진구,35.156677,129.05383,부산진구 가야대로750번길 17,051-808-4036,17:00-01:00,시메사바 이소베마키
98,양평칼국수,사하구,35.048454,128.967,사하구 다대로 680-1,051-265-0907,"월~금 /
am 11:00 ~ pm 21:00 
(16:00~17:00 브레이크타임)
(20:00 라스트오더)

토 /
am 11:00 ~ pm 16:00
(15:00 라스트오더) ","양평칼국수, 비빔칼국수, 멸치칼국수, 고기만두"
99,영진돼지국밥,사하구,35.09664,128.95784,사하구 하신번영로157번길 39,051-206-3820,"am 09:30 ~ pm 21:30
(브레이크타임 15:00~17:00)","수육백반, 돼지국밥, 순대국밥,  내장국밥"
100,신흥반점,서구,35.09595,129.02463,서구 충무대로 284-1,051-242-6164,am 11:00 ~ pm 20:00,"짬뽕, 자장면, 깐풍기, 삼선볶음밥"
101,동원 숯불 갈비,연제구,35.188595,129.09715,연제구 과정로276번길 9,051-864-2379,am 12:00 ~ pm 22:00,돼지갈비230g
102,도날드 즉석 떡볶이,영도구,35.085815,129.04295,영도구 꿈나무길 267(1층),051-413-9990,11:00-19:20,"2인Set, 3인Set"
103,영도우,영도구,35.08781,129.06128,영도구 조내기로5번길 2,070-4659-0169,11:30-15:00 / 17:00-20:30,"영도우피자, 청학동파스타"
104,함흥보쌈,영도구,35.08845,129.04108,영도구 남항로 42,051-416-2342,"am 11:00 ~ pm 21:00
(브레이크타임 15:30 ~ 16:00)","모둠보쌈 소/중/대, 함흥냉면, 평양냉면"
105,원산면옥 1953,중구,35.098976,129.03105,중구 광복로 56-8,051-245-2310,11:00-21:30,"평양냉면, 함흥냉면"
106,개미집신도시점,해운대구,35.167637,129.17154,해운대구 좌동로 10번길 51-5,051-744-6446,10:00a.m. ~ 22:00p.m.,"낙지볶음, 곱창전골"
107,오리한상,강서구,35.097855,128.92471,"명지국제9로 66, 지봉빌딩 2층",051-711-0415,"am 11:30 ~ pm 22:00
(브레이크타임 15:00 ~ 17:00)","오리소금구이, 오리양념구이"
108,"오,유미당",금정구,35.241432,129.08784,금정로 187,0507-1372-5101,"am 11:30 ~ pm 21:00
(브레이크 타임 15:30 ~ 17:00) ","토마호크 돈카츠, 치즈 돈카츠, 두부 짬뽕 쌀국수"
109,만포밀면,기장군,35.245934,129.21597,기장읍 차성로 322번길 40,051-722-7516,"am 11:00 ~ pm 20:30
(브레이크타임 15:30 ~ 17:00)","물밀면, 비빔밀면, 찐만두"
110,맛사랑채,기장군,35.24538,129.2147,기장읍 읍내로 93-6,051-722-4210,오픈 11:00 / 마감 21:00,"쌈정식, 고등어조림, 닭도리탕"
111,우정까망촌돼지,사하구,35.08081,128.97154,장림번영로 53,051-261-6021,오픈 11:00 / 마감 22:00,
112,유메,사하구,35.105747,128.96916,낙동대로 456,070-8807-1689,"am 11:30 ~ pm 24:00
(브레이크타임 14:30 ~ 17:00)
(라스트오더 23:30) ",
113,금랑횟집 광안리 본점,수영구,35.155155,129.131,"광안해변로344번길 17-5, 마린리치건물 6층",0507-1400-5209,"am 11:30 ~ pm 23:00
(라스트오더 22:00) ",
114,난파센,수영구,35.14674,129.11339,남천동로108번길 43,051-622-0527,"am 11:30 ~ pm 21:00
(브레이크타임 15:00 ~ 17:00)",
115,화국반점,중구,35.10253,129.0342,중구 백산길3 ,051-245-5305,11:30-15:30 / 17:00-21:00,"탕수육, 간짜장"
116,로얄경양식&스테이크 광안점,수영구,35.153294,129.12462,"민락수변로 29, 2층 201~203호",051-759-8718,오픈 11:30 / 마감 22:00,
117,이정태 본참치,중구,35.10548,129.03526,중구 해관로73,051-463-3737,11:30-14:30 / 17:00-22:30,"특정식, 특초밥"
118,무궁화 식당,수영구,35.14778,129.10925,황령산로8번길 5,051-623-5700,"am 11:30 ~ pm 21:00
(브레이크타임 15:00 ~ 17:00)
(라스트오더 14:00, 20:00)",
119,어가초밥,중구,35.097214,129.02882,자갈치로 41,051-247-3777,"pm 12:00 ~ pm 21:00
(브레이크타임 14:00 ~ 17:00) ",
120,배꼽시계,기장군,35.30255,129.24944,일광면 장곡길 63-14,051-728-6118,오픈 11:30 / 마감 22:00,"황칠유황오리백숙, 능이유황오리백숙, 오리불고기"
121,배가왕,수영구,35.15554,129.13087,광안해변로 348-1,051-758-4200,오픈 11:00 / 마감 21:00,
122,삼정횟집,중구,35.10655,129.03775,중앙대로 98번길 13,051-462-1321,오픈 9:30 / 마감 21:30,
123,변소영 백년밥상,기장군,35.245594,129.2147,기장읍 읍내로 93-8,051-721-8922,오픈 08:00 / 마감 20:00,"소불백정식, 맛조은순두부, 차돌된장찌개"
124,사랑도 횟집,기장군,35.247726,129.21346,기장읍 차성로 337-1,051-722-7001,오픈 11:30 / 마감 21:00,"자연산회, 앙장구비빔밥, 물회"
125,삼송초밥,중구,35.099678,129.02986,중구 광복로55번길 13,051-245-7870,11:00-14:30 / 16:30-21:00,"김초밥(후토마끼), 초밥 정식 특선"
126,솔리보,기장군,35.26711,129.23145,"일광면 해송4로 21, 201호",051-723-4400,오픈 11:30 / 마감 21:00,"포모도로파스타, 새우로제파스타, 부채살스테이크"
127,부산족발,중구,35.09956,129.02664,중구 광복로 13-1,051-245-5359,10:00-24:00,"족발, 냉채족발"
128,시티바캉스,수영구,35.15693,129.11592,광안로 21번가길 11-1,051-755-1101,오픈 11:00 / 마감 21:00,
129,PHOever Yum(포에버얌),기장군,35.282776,129.2583,일광면 문오성길 43,051-721-3645,오픈 11:30 / 마감 20:00,"왕갈비쌀국수, 분짜, 새우튀김롤"
130,물레방아 즉석구이,중구,35.10104,129.03513,중구 중앙대로41번길 11-1,051-245-1195,11:30-15:00 / 17:00-24:00,"안금무, 소금구이"
131,양귀빈 식당 3호점,수영구,35.163265,129.116,수영로646번길 15,051-756-0840,오픈 17:00 / 마감 23:00,
132,고민끝에여기,동구,35.112698,129.03706,"대영로239번길 12, 1층",051-442-1592,오픈 12:00 / 마감 20:00(재료 소진 시 마감),"통새우브리또 1인세트, 돼지고기 퀘사디아&미니샐러드, 새우타코 2조각"
133,명송초밥,중구,35.101738,129.03586,해관로 32,051-246-1225,오픈 11:30 / 마감 22:00,
134,다께,동구,35.138863,129.06076,범일로102번길 12,051-631-6891,오픈 11:30 / 마감 22:00,"죽 회석요리, 특별 회석요리1, 특별 회석요리2"
135,남포삼계탕,중구,35.098812,129.03049,남포길 16,051-245-5075,오픈 10:30 / 마감 22:00,
136,지에이비148,수영구,35.145763,129.11497,"광안해변로 122, 삼익비치B상가 2층",051-791-0148,"일~금 am 11:30 ~ pm 22:30
토 am 11:30 ~ pm 23:00",
137,대수정,동구,35.140755,129.06291,자성로 133번길 46,051-647-0147,오픈 10:30 / 마감 21:30,"솥밥정식, 갈비찜정식, 한우따닥정식"
138,목장원,영도구,35.07162,129.05736,영도구 절영로 355,051-404-5000,11:30-21:30,"한우등심, 한우양념구이"
139,톤쇼우,수영구,35.15631,129.12474,광안해변로279번길 13,051-752-7978,오픈 11:30 / 마감 21:00,
140,그라치에,영도구,35.089043,129.06154,영도구 청학동로 12,070-4150-9999,11:30-15:00 / 17:00-21:30,"감자뇨끼, 오징어먹물리조또"
141,황해도 본점,수영구,35.1407,129.109,수영구 수영로394번길 35-3,0507-1427-0507,16:00-23:00,"주안상, 만두전골"
142,프라한,수영구,35.146706,129.11386,남천동로108번길 52,0507-1362-8935,오픈 9:30 / 마감 17:00,
143,동촌황정순수육전골,동구,35.13937,129.06071,조방로39-12,051-637-7178,오픈 10:00 / 마감 22:00,"수육전골, 샤브샤브"
144,소우닭계,동구,35.13942,129.0646,조방로 16번길 20,051-633-2292,오픈 11:00 / 마감 21:30,"매운 찜갈비 정식, 왕갈비탕, 한우 육개장"
145,양지추어탕,동구,35.130672,129.04565,중앙대로371번길 70-4,051-467-3924,오픈 11:00 / 마감 20:00,"추어탕, 추어튀김, 코다리찜"
146,오스테리아비비,동구,35.12526,129.03906,동구 홍곡남로18번길 5,네이버를 통한 예약만 가능,네이버 참고,"프로슈토 피자, 단일코스 1인"
147,웅복,동구,35.130657,129.0478,"진성로28번길 19, 1층",051-632-2019,"am 11:30 ~ pm 21:30 
(브레이크타임 15:00 ~ 17:00) ","복코스, 복불고기정식, 은복"
148,초량통닭,동구,35.118904,129.03996,초량로 15,051-468-2738,오픈 16:00 / 마감 21:30,"후라이드, 닭도리탕, 백숙"
149,코카모메 초량점,동구,35.116886,129.0351,영초윗길20,051-711-1755,오픈 11:30 / 마감 20:30,"코카모메텐동, 에비텐동, 스페셜텐동"
150,홍성방,동구,35.113834,129.03781,동구 중앙대로 179번길 16,051-467-5398,11:00-15:00 / 17:00-21:30,"물만두, 오향장육"
151,가두리닭숯불구이,동래구,35.204994,129.07947,충렬대로179번길 27-3 1층,051-556-1230,오픈 17:00 / 마감 02:00,"닭구이 6가지 부위 중 3가지 선택 소금구이, 양념구이"
152,먹음직,동래구,35.19219,129.1003,온천천로431번길 4-1,051-532-2888,"월~금 / pm 16:00 ~ pm 23:00
토~일 / pm 12:00 ~ pm 23:00 ",
153,미미루,동래구,35.219486,129.08296,온천장로 91-1,051-555-6609,"am 11:30 ~ pm 22:00
(브레이크타임 15:00 ~ 17:00) 
(라스트오더 21:00)","짜장면, 볶음밥, 탕수육"
154,밀보스79,동래구,35.2058,129.08028,명륜로129번나길 11  ,051-555-8568,오픈 12:00 / 마감 02:00,"화덕 큐브스테이크, 게새피자, 생면 로제 파스타"
155,순이네곱창,동래구,35.198902,129.09865,충렬대로 359번길 24,051-621-8899,오픈 15:00 / 마감 24:00,"솔잎양념곱창구이, 한우곱창전골"
156,세연정,동래구,35.20514,129.07704,충렬대로 149,051-506-6666,오픈 11:30 / 마감 22:00,"특갈비살, 양념갈비 2대, 갈비살소금구이"
157,조방낙지마당,동래구,35.19913,129.05907,사직북로47번길 14-4,051-505-0708,오픈 10:30 / 마감 21:00,"낙지볶음, 낙새, 낙곱"
158,초록담미역국,동래구,35.194927,129.05788,"동래구 사직로 73, 2층",051-505-5255,10:00-14:30 / 15:20-20:30,"조개미역국, 한우 미역국"
159,타이빈,동래구,35.216263,129.0773,동래구 금강로73번길 12,051-558-8885,11:00-15:00 / 17:00-22:00,"크랩 팟 퐁 커리, 뿌님 팟 퐁 커리, 탈래 팟 프릭 파우"
160,경찰서 옆 초밥집,부산진구,35.159702,129.05392,부전로 111번길 15,051-818-3189,오픈 17:00 / 마감 22:30,"추천초밥 12p, 광어+연어초밥 10p, 생선턱살구이"
161,동백아가씨1961,부산진구,35.158566,129.064,서전로37번길 18,070-7612-1961,오픈 11:30 / 마감 21:00,"빨간동백떡볶이, 하얀동백떡볶이, 떡꼬치"
162,로위버거,부산진구,35.156338,129.06004,"서전로10번길 31-4, 1층",070-4467-4090,오픈 11:30 / 마감 20:30,"새우버거, 와우웅버거, 시그니처 감자튀김"
163,장어촌,부산진구,35.15863,129.05667,부산진구 부전로96번길 36,051-803-9617,11:00-23:00,"민물장어구이, 바다장어구이"
164,전통음식점 원양,부산진구,35.172222,129.06995,동평로 420번길 23,010-4545-0773,오픈 11:00 / 마감 22:30,
165,항정살구공탄,부산진구,35.165436,129.03777,동평로 75,051-891-6339,월~토 pm 17:00 ~ am 01:30 / 일  pm 17:00 ~ am 01:00,"항정살, 마늘항정살, 껍데기"
166,금용,북구,35.205463,128.99666,구포만세길 75,051-332-1261,오픈 10:30 / 마감 20:30,"찐만두, 군만두, 오향장육"
167,웅천집,북구,35.26257,129.0153,금곡대로616번길 7-14,051-332-8740,오픈 11:30 / 마감 22:00,"향어회, 메기매운탕, 장어구이"
168,이종임 전복뚝배기,북구,35.230835,129.00897,화명대로 12번길 91,051-365-0022,오픈 10:00 / 마감 22:00,"전복한우갈비찜, 전복해물탕, 전복버터구이"
169,평양집,북구,35.212116,129.00589,금곡대로 20번길 21,051-331-5455,오픈 11:00 / 마감 17:00,"만두백반, 만두전골, 녹두전"
170,대왕불맛,사상구,35.17614,128.99005,"덕상로 54, 1층",051-303-5755,pm 16:00 ~ am 01:00,"막창반 곱창반, 불막창, 불곱창"
